"X","Y","Z","art","id","Attachments", "hoehe"
"349843.866","5775925.434","32.02","Schwarzerle","1","","15.2"
"349845.324","5775913.957","33.10","Salix","2","","4.5"
"349819.914","5775888.329","33.55","Birke","3","","11.4"
"349823.710","5775898.138","33.40","Traubenkirsche","4","6.0"
"349814.207","5775873.843","33.40","Eiche","5","19.5"
"349810.042","5775872.339","33.71","Eiche","6","","18.5"
"349796.200","5775871.761","32.85","Eiche","7","","19.1"
"350566.100","5776277.010","36.08","Larix","8","","19.4"
"350551.391","5776281.977","34.29","Larix","9","","18.3"
"350521.505","5776256.484","36.82","Stumpf Drohnentarget","10","","2.4"
