"X","Y","Z","art","id","art_id","Attachments"
"349634.253","5775995.712","-43.83","","1","1",""
"349658.761","5776008.244","-43.83","","2","3",""
"349665.274","5776004.730","-43.83","","3","4",""
"349680.145","5775984.271","-43.83","","4","4",""
"349708.488","5775994.987","-43.83","","5","1",""
"349747.638","5775987.554","-43.83","","6","3",""
"349760.796","5775985.503","-43.83","","7","4",""
"349771.579","5775977.699","-43.83","","8","3",""
"349770.556","5775935.423","-43.83","alnus","9","2",""
"349768.250","5775900.235","-43.83","quercus ","10","3",""
"349764.575","5775884.297","-43.83","pinus","11","1",""
"349752.242","5775888.828","-43.83","","12","4",""
"349748.316","5775874.128","-43.83","","13","1",""
"349743.714","5775849.707","-43.83","","14","3",""
"349732.285","5775833.230","-43.83","","15","3",""
"349732.493","5775812.802","-43.83","fagus","16","6",""
"349737.605","5775801.229","-43.83","alnus","17","2",""
"349743.198","5775794.472","-43.83","","18","2",""
"349747.102","5775778.762","-43.83","","19","2",""
"349751.825","5775766.187","-43.83","3","20","",""
"349743.886","5775733.461","-43.83","","21","7",""
"349737.760","5775722.721","-43.83","","22","7",""
"349746.921","5775721.172","-43.83","","23","3",""
"349770.031","5775693.892","-43.83","","24","3",""
"349777.659","5775688.248","-43.83","","25","2",""
"349790.055","5775709.074","-43.83","","26","3",""
"349817.479","5775717.287","-43.83","","27","3",""
"349802.624","5775736.658","-43.83","","28","3",""
"349775.313","5775772.436","-43.83","","29","7",""
"349783.953","5775801.449","-43.83","","30","6",""
"349769.821","5775798.325","-43.83","picea unter eiche versteckt","31","5",""
"349766.242","5775807.767","-43.83","","32","3",""
"349792.398","5775817.837","-43.83","","33","2",""
"349796.737","5775832.277","-43.83","","34","4",""
"349782.155","5775845.461","-43.83","","35","4",""
"349770.021","5775847.608","-43.83","","36","4",""
"349782.814","5775867.489","-43.83","","37","1",""
"349782.047","5775884.169","-43.83","","38","1",""
"349796.766","5775903.652","-43.83","","39","2",""
"349843.509","5775925.802","-43.83","","40","2",""
"349916.165","5775984.209","-43.83","","41","1",""
"349906.236","5776023.194","-43.83","","42","1",""
"349903.605","5776031.298","-43.83","","43","1",""
"349900.608","5776039.407","-43.83","","44","4",""
"349904.829","5776077.967","-43.83","","45","1",""
"350049.896","5776104.385","-43.83","","46","1",""
"350110.848","5776028.685","-43.83","","47","4",""
"350153.405","5775977.074","-43.83","","48","8",""
"350146.204","5775982.636","-43.83","","49","8",""
"350132.105","5775984.498","-43.83","","50","8",""
"350127.070","5775977.288","-43.83","","51","8",""
"350123.073","5775990.331","-43.83","","52","6",""
"350117.229","5775980.729","-43.83","","53","2",""
"350108.551","5775970.966","-43.83","","54","6",""
"350111.214","5775958.420","-43.83","","55","6",""
"350120.470","5775955.866","-43.83","","56","8",""
"350132.700","5775956.440","-43.83","","57","8",""
"350134.521","5775937.152","-43.83","","58","8",""
"350129.305","5775927.780","-43.83","","59","8",""
"350102.212","5775950.568","-43.83","","60","8",""
"350089.292","5775950.434","-43.83","","61","6",""
"350079.058","5775952.287","-43.83","","62","6",""
"350080.832","5775967.347","-43.83","","63","2",""
"350066.324","5775981.790","-43.83","","64","6",""
"350045.205","5775973.016","-43.83","","65","6",""
"350038.536","5775964.525","-43.83","","66","2",""
"350045.589","5775932.319","-43.83","","67","6",""
"350027.296","5775925.232","-43.83","","68","6",""
"350018.517","5775924.857","-43.83","","69","2",""
"349993.266","5775918.840","-43.83","","70","6",""
"349959.348","5775912.578","-43.83","","71","6",""
"349934.258","5775942.467","-43.83","","72","2",""
"349925.870","5775961.704","-43.83","","73","2",""
"349801.475","5776003.169","-43.83","","74","1",""
"349621.193","5776002.300","-43.83","","75","3",""
"349607.347","5776009.654","-43.83","","76","1",""
"349601.807","5776019.486","-43.83","","77","4",""
"350638.598","5776406.353","-43.83","","78","1",""
"350588.197","5776311.717","-43.83","","79","8",""
"350582.040","5776279.883","-43.83","","80","9",""
"350576.486","5776269.936","-43.83","","81","9",""
"350567.364","5776274.319","-43.83","","82","9",""
"350553.420","5776279.448","-43.83","","83","9",""
"350539.415","5776268.504","-43.83","","84","9",""
"350526.757","5776274.807","-43.83","","85","9",""
"350509.945","5776268.989","-43.83","","86","9",""
"350437.248","5776188.688","-43.83","","87","4",""
"350420.177","5776157.447","-43.83","","88","4",""
"350401.454","5776148.950","-43.83","","89","9",""
"350381.515","5776156.813","-43.83","","90","9",""
"350365.178","5776152.580","-43.83","","91","9",""
"350362.569","5776108.796","-43.83","","92","8",""
"350373.436","5776076.840","-43.83","","93","8",""
"350335.903","5776066.445","-43.83","","94","5",""
"350343.340","5776078.633","-43.83","2 relativ klein geht aber","95","5",""
"350413.128","5776007.017","-43.83","","96","1",""
"350229.005","5776075.522","-43.83","","97","4",""
"350157.699","5775906.988","-43.83","direkt neben riesiger pappel","98","5",""
"350156.189","5775890.274","-43.83","","99","3",""
"350148.228","5775815.494","-43.83","","100","8",""
"350210.491","5775792.077","-43.84","","101","8",""
"350336.222","5775804.339","-43.84","","102","2",""
"350439.198","5775762.135","-43.84","","103","9",""
"350457.916","5775743.658","-43.84","","104","9",""
"350470.772","5775737.512","-43.84","","105","9",""
"350476.483","5775746.430","-43.84","","106","9",""
"350479.798","5775730.365","-43.84","","107","9",""
"350640.447","5776130.094","-43.83","","108","8",""
"350579.971","5776155.861","-43.83","","109","5",""
"350566.137","5776161.360","-43.83","","110","3",""
"350571.611","5776188.068","-43.83","","111","1",""
